,Dilution name,OD replicate,OD,OD std
0,dilu-1,1,125.2,18.696556622009304
12,dilu-1,2,126.8,18.9354902529615
1,dilu0,1,59.599999999999994,8.900277752969286
13,dilu0,2,60.0,8.960011160707333
2,dilu1,1,30.2,4.489755904278094
14,dilu1,2,29.099999999999998,4.326221748824255
3,dilu2,1,15.7,2.334078400568413
15,dilu2,2,16.5,2.453012331807568
4,dilu3,1,8.4,1.2488062780111253
16,dilu3,2,8.200000000000001,1.2190727952013367
5,dilu4,1,4.08,0.5579316087120356
17,dilu4,2,4.109999999999999,0.5620340470113888
